tier_name,country_latitude,count,used,country_longitude,pool_name,capacity,city_latitude,city_longitude,subscribed,city_name,service_type,device_serial,mgmt_cost,country_name,used_cost,timestamp,datacenter_name
Service-Class-0,null,1,1.7534183424E10,null,53280-0,1.96105728E10,null,null,2.0090611712E10,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0,null,1,1.6384104448E10,null,53280-1,3.0919151616E10,null,null,2.2537043968E10,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,53280-100,3.43156992E9,null,null,2.622593536E9,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,53280-109,3.43156992E9,null,null,2.622593536E9,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0u,null,1,5.24550144E9,null,53280-126,6.867543552E9,null,null,7.972742656E9,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-1,null,1,1.83958929408E11,null,53280-10,2.919931904E11,null,null,2.7274919936E11,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-1,null,1,6.028965888E10,null,53280-11,1.22445996032E11,null,null,8.8399781888E10,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-2,null,1,7.637753856E10,null,53280-20,1.21263931392E11,null,null,8.7183745024E10,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-3,null,1,6.5668960256E10,null,53280-30,9.9551698944E10,null,null,9.1519188992E10,Melbourne,BLOCK,53280,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0,null,1,7.436186624E9,null,54831-0,1.0303517696E10,null,null,7.43681536E9,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0u,null,1,0.0,null,54831-126,6.867543552E9,null,null,1.048995456E9,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-1,null,1,1.20509382656E11,null,54831-10,2.3685873664E11,null,null,1.74845755392E11,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-1,null,1,5.9803226112E10,null,54831-11,1.2322172928E11,null,null,8.5938249728E10,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-2,null,1,5.3479264256E10,null,54831-20,9.3712392192E10,null,null,5.9117248512E10,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-2,null,1,9.8416091136E10,null,54831-23,1.30566373376E11,null,null,4.2949935104E11,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-2,null,1,7.7725802496E10,null,54831-24,1.13356832768E11,null,null,4.2949935104E11,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-2,null,1,9.526910976E10,null,54831-25,1.09979582464E11,null,null,4.2949935104E11,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-2,null,1,6.5385111552E10,null,54831-26,1.09979582464E11,null,null,4.2949935104E11,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-3,null,1,6.70585344E9,null,54831-30,1.0325254144E11,null,null,1.1515251712E10,Melbourne,BLOCK,54831,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-1,null,1,2.5646804992E10,null,55914-10,2.9478301696E10,null,null,2.792704E10,Melbourne,BLOCK,55914,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG Melbourne DC
Service-Class-0,null,1,1.9759681536E10,null,410750-5,2.0611334144E10,null,null,2.0632829952E10,Melbourne,BLOCK,410750,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,2.88540327936E11,null,410750-50,2.9829332992E11,null,null,2.95299121152E11,Melbourne,BLOCK,410750,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,2.83063615488E11,null,410750-51,2.9829332992E11,null,null,3.00836356096E11,Melbourne,BLOCK,410750,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,1.373175808E11,null,410750-52,2.75347341312E11,null,null,1.87917615104E11,Melbourne,BLOCK,410750,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,1.7801101312E11,null,410750-53,2.75347341312E11,null,null,2.14763044864E11,Melbourne,BLOCK,410750,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0,null,1,1.061725184E10,null,411493-5,2.0611334144E10,null,null,1.3947948032E10,Melbourne,BLOCK,411493,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,1.81151547392E11,null,411493-50,3.21239318528E11,null,null,2.14763044864E11,Melbourne,BLOCK,411493,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,2.54616223744E11,null,411493-51,3.21239318528E11,null,null,3.1570444288E11,Melbourne,BLOCK,411493,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,2.09714577408E11,null,411493-52,2.75347341312E11,null,null,2.14763044864E11,Melbourne,BLOCK,411493,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,2.11928711168E11,null,411493-53,2.75347341312E11,null,null,2.6845380608E11,Melbourne,BLOCK,411493,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-5,null,1,1.02192340992E11,null,423299-59,2.40928407552E11,null,null,1.54634010624E11,Melbourne,BLOCK,423299,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0,null,1,6.295335936E9,null,51206-5,2.0611438592E10,null,null,7.776239616E9,Melbourne,BLOCK,51206,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.99128711168E11,null,51206-10,2.7085316096E11,null,null,3.32782043136E11,Melbourne,BLOCK,51206,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.99691616256E11,null,51206-19,2.7085316096E11,null,null,3.27612891136E11,Melbourne,BLOCK,51206,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,3.42712057856E11,null,51206-40,4.24817033216E11,null,null,5.07421556736E11,Melbourne,BLOCK,51206,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-2,null,1,3.284454656E9,null,51206-24,1.3504714752E10,null,null,3.4363092992E10,Melbourne,BLOCK,51206,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-3,null,1,4.7128080384E10,null,51206-30,7.8965325824E10,null,null,7.4600308736E10,Melbourne,BLOCK,51206,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.9941398528E10,null,51876-10,1.60562675712E11,null,null,1.21341353984E11,Melbourne,BLOCK,51876,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.4949128192E10,null,51876-19,1.60562675712E11,null,null,9.9864231936E10,Melbourne,BLOCK,51876,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,7.391831552E9,null,51876-29,1.77448845312E11,null,null,2.14760964096E11,Melbourne,BLOCK,51876,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,0.0,null,51876-40,1.5504621568E11,null,null,1.82547841024E11,Melbourne,BLOCK,51876,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,55841-100,3.43156992E9,null,null,1.573702912E9,Melbourne,BLOCK,55841,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,55841-108,3.43156992E9,null,null,1.573702912E9,Melbourne,BLOCK,55841,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,55841-109,3.43156992E9,null,null,1.573702912E9,Melbourne,BLOCK,55841,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.28648216576E11,null,55841-10,2.77607022592E11,null,null,1.79963428864E11,Melbourne,BLOCK,55841,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.22661584896E11,null,55841-19,2.72541057024E11,null,null,1.7185562624E11,Melbourne,BLOCK,55841,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,3.0616322048E10,null,55841-40,6.2650843136E10,null,null,4.8606846976E10,Melbourne,BLOCK,55841,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-3,null,1,1.8956681216E10,null,55841-30,6.8833665024E10,null,null,3.8080294912E10,Melbourne,BLOCK,55841,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.250185728E10,null,55916-10,1.4315998208E10,null,null,1.3794121728E10,Melbourne,BLOCK,55916,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-1,null,1,1.2431707136E10,null,55916-19,1.4315998208E10,null,null,1.3794121728E10,Melbourne,BLOCK,55916,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
Service-Class-0u,null,1,1.573702912E9,null,55953-100,3.43156992E9,null,null,1.573702912E9,Melbourne,BLOCK,55953,0.0,Australia,null,2018-04-30T00:00:00.000Z,IAG West Melbourne DC
